platform,group,scene,scale,seed,test_ok,metric_pdr,metric_avg_delay_ms,metric_recov_ms,metric_gate_cmp,metric_gate_sw
rpl-lite,Baseline,Root-Loss,40,12,1,0.723077,125.493,238434.984,1981330,885
rpl-lite,Baseline,Root-Loss,40,13,1,0.742424,143.295,165724.984,1944894,841
rpl-lite,Baseline,Root-Loss,40,14,1,0.723077,116.336,183045.984,2038285,1082
rpl-lite,Baseline,Root-Loss,40,15,1,0.742424,202.579,185966.984,1900476,819
rpl-lite,Baseline,Root-Loss,40,16,1,0.738462,128.264,215364.984,1960705,851
rpl-lite,Baseline,Root-Loss,40,17,1,0.742424,175.733,176264.984,2068198,995
rpl-lite,Baseline,Root-Loss,40,18,1,0.742424,146.513,216522.984,2134250,1011
rpl-lite,Baseline,Root-Loss,40,19,1,0.727273,305.373,221973.984,2118086,1056
rpl-lite,Baseline,Root-Loss,40,20,1,0.738462,129.816,199656.224,1951968,841
rpl-lite,Baseline,Root-Loss,60,1,1,0.742424,98.212,214432.984,7332497,1516
rpl-lite,Baseline,Root-Loss,60,2,1,0.727273,107.191,170033.984,7708741,1705
rpl-lite,Baseline,Root-Loss,60,3,1,0.742424,96.486,173228.984,7913069,2009
rpl-lite,Baseline,Root-Loss,60,4,1,0.738462,478.444,170698.984,7417588,1726
rpl-lite,Baseline,Root-Loss,60,5,1,0.738462,102.717,213327.984,8274523,2001
rpl-lite,Baseline,Root-Loss,60,6,1,0.727273,103.190,218215.984,7569866,1591
rpl-lite,Baseline,Root-Loss,60,7,1,0.738462,556.089,176865.984,7214037,1530
rpl-lite,Baseline,Root-Loss,60,8,1,0.742424,99.854,169391.984,7763393,1807
rpl-lite,Baseline,Root-Loss,60,9,1,0.757576,159.722,206217.984,7547522,1611
rpl-lite,Baseline,Root-Loss,60,10,1,0.757576,624.127,198828.984,7592889,1674
rpl-lite,Baseline,Root-Loss,60,11,1,0.738462,100.017,165982.984,7452491,1626
rpl-lite,Baseline,Root-Loss,60,12,1,0.753846,271.436,164109.984,6833422,1566
rpl-lite,Baseline,Root-Loss,60,13,1,0.757576,304.612,191325.984,7880768,1738
rpl-lite,Baseline,Root-Loss,60,14,1,0.742424,102.773,188225.984,7923197,1709
rpl-lite,Baseline,Root-Loss,60,15,1,0.757576,377.842,205028.984,7843428,1678
rpl-lite,Baseline,Root-Loss,60,16,1,0.742424,106.742,207618.984,7437665,1519
rpl-lite,Baseline,Root-Loss,60,17,1,0.742424,94.140,218149.224,7389011,1486
rpl-lite,Baseline,Root-Loss,60,18,1,0.712121,98.565,231766.984,7126886,1400
rpl-lite,Baseline,Root-Loss,60,19,1,0.727273,103.758,181896.984,7602787,1737
rpl-lite,Baseline,Root-Loss,60,20,1,0.753846,511.512,199090.984,7485549,1711
rpl-lite,Baseline,Stable,20,1,1,0.937500,161.112,-1.000,27441,19
rpl-lite,Baseline,Stable,20,2,1,1.000000,139.151,-1.000,27711,19
rpl-lite,Baseline,Stable,20,3,1,1.000000,209.214,-1.000,27968,19
rpl-lite,Baseline,Stable,20,4,1,0.933333,204.392,-1.000,28071,19
rpl-lite,Baseline,Stable,20,5,1,0.933333,190.821,-1.000,28389,19
rpl-lite,Baseline,Stable,20,6,1,1.000000,204.692,-1.000,27360,19
rpl-lite,Baseline,Stable,20,7,1,1.000000,150.744,-1.000,28186,19
rpl-lite,Baseline,Stable,20,8,1,1.000000,208.089,-1.000,28069,19
rpl-lite,Baseline,Stable,20,9,1,0.937500,195.140,-1.000,27748,19
rpl-lite,Baseline,Stable,20,10,1,0.937500,218.712,-1.000,27916,19
rpl-lite,Baseline,Stable,20,11,1,1.000000,211.589,-1.000,28011,19
rpl-lite,Baseline,Stable,20,12,1,0.937500,195.031,-1.000,27871,19
rpl-lite,Baseline,Stable,20,13,1,1.000000,198.852,-1.000,28444,20
rpl-lite,Baseline,Stable,20,14,1,1.000000,198.854,-1.000,28077,20
rpl-lite,Baseline,Stable,20,15,1,1.000000,206.789,-1.000,27792,19
rpl-lite,Baseline,Stable,20,16,1,0.937500,196.831,-1.000,27872,19
rpl-lite,Baseline,Stable,20,17,1,0.937500,200.098,-1.000,27820,19
rpl-lite,Baseline,Stable,20,18,1,1.000000,215.110,-1.000,28000,19
rpl-lite,Baseline,Stable,20,19,1,1.000000,162.590,-1.000,28298,19
rpl-lite,Baseline,Stable,20,20,1,1.000000,206.479,-1.000,28167,21
rpl-lite,Baseline,Stable,40,1,1,1.000000,144.643,-1.000,298840,42
rpl-lite,Baseline,Stable,40,2,1,1.000000,144.445,-1.000,299628,43
rpl-lite,Baseline,Stable,40,3,1,1.000000,146.742,-1.000,299846,42
rpl-lite,Baseline,Stable,40,4,1,1.000000,138.729,-1.000,299129,42
rpl-lite,Baseline,Stable,40,5,1,1.000000,153.714,-1.000,297412,42
rpl-lite,Baseline,Stable,40,6,1,0.937500,150.259,-1.000,304213,43
rpl-lite,Baseline,Stable,40,7,1,1.000000,163.524,-1.000,304487,44
rpl-lite,Baseline,Stable,40,8,1,1.000000,158.464,-1.000,298473,42
rpl-lite,Baseline,Stable,40,9,1,1.000000,151.496,-1.000,295585,41
rpl-lite,Baseline,Stable,40,10,1,1.000000,131.089,-1.000,301733,42
rpl-lite,Baseline,Stable,40,11,1,0.937500,158.898,-1.000,294367,42
rpl-lite,Baseline,Stable,40,12,1,1.000000,148.526,-1.000,297077,42
rpl-lite,Baseline,Stable,40,13,1,1.000000,153.589,-1.000,299826,40
rpl-lite,Baseline,Stable,40,14,1,1.000000,151.429,-1.000,299861,41
rpl-lite,Baseline,Stable,40,15,1,1.000000,149.229,-1.000,297617,41
rpl-lite,Baseline,Stable,40,16,1,1.000000,157.102,-1.000,298484,40
rpl-lite,Baseline,Stable,40,17,1,0.937500,151.098,-1.000,298939,39
rpl-lite,Baseline,Stable,40,18,1,0.937500,150.912,-1.000,300297,43
rpl-lite,Baseline,Stable,40,19,1,1.000000,163.163,-1.000,298552,41
rpl-lite,Baseline,Stable,40,20,1,1.000000,166.742,-1.000,300760,45
rpl-lite,Baseline,Stable,60,1,1,1.000000,150.291,-1.000,1244616,61
rpl-lite,Baseline,Stable,60,2,1,1.000000,148.726,-1.000,1229349,62
rpl-lite,Baseline,Stable,60,3,1,1.000000,156.666,-1.000,1229273,61
rpl-lite,Baseline,Stable,60,4,1,1.000000,144.326,-1.000,1235323,63
rpl-lite,Baseline,Stable,60,5,1,1.000000,168.276,-1.000,1250759,60
rpl-lite,Baseline,Stable,60,6,1,1.000000,160.634,-1.000,1263919,63
rpl-lite,Baseline,Stable,60,7,1,1.000000,159.163,-1.000,1247982,69
rpl-lite,Baseline,Stable,60,8,1,1.000000,150.427,-1.000,1235877,65
rpl-lite,Baseline,Stable,60,9,1,1.000000,153.104,-1.000,1227072,60
rpl-lite,Baseline,Stable,60,10,1,0.937500,150.647,-1.000,1254608,65
rpl-lite,Baseline,Stable,60,11,1,1.000000,163.729,-1.000,1236331,63
rpl-lite,Baseline,Stable,60,12,1,1.000000,152.229,-1.000,1239692,66
rpl-lite,Baseline,Stable,60,13,1,1.000000,166.214,-1.000,1233182,61
rpl-lite,Baseline,Stable,60,14,1,1.000000,152.929,-1.000,1243849,66
rpl-lite,Baseline,Stable,60,15,1,1.000000,149.363,-1.000,1248055,62
rpl-lite,Baseline,Stable,60,16,1,1.000000,145.789,-1.000,1239781,60
rpl-lite,Baseline,Stable,60,17,1,1.000000,155.910,-1.000,1245157,62
rpl-lite,Baseline,Stable,60,18,1,1.000000,138.692,-1.000,1245807,65
